,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A7-A26E-01,-0.003571,-0.5641,0.017200999999999998,-0.23656999999999997,0.46433,-0.048472,-0.30446,-1.185,0.29894,-0.028742,-0.24299,0.49505,0.1194
TCGA-A7-A26F-01,-0.027656,0.48505,-0.34263000000000005,-0.12536,-0.13525,0.21731999999999999,0.69901,-0.14415,0.10322,0.2624,0.15653,0.12661,-0.17807
TCGA-A7-A26G-01,-0.19663,-1.3531,1.4263,-0.2273,0.7156399999999999,-0.29889,-0.281,-0.7027100000000001,-0.11232,0.25906,0.48161000000000004,-0.42166000000000003,-0.44251
TCGA-A7-A26H-01,-0.10975,-0.49538000000000004,0.45745,-0.35572,0.086886,-0.15206,-1.1019,-0.98131,0.40148,0.13955,-0.15716,0.9446700000000001,0.20040999999999998
TCGA-A7-A26I-01,-0.23701999999999998,0.061916,0.17294,0.078815,1.4916,0.042038,0.79738,0.48373999999999995,0.26804,-0.14147,-0.0017397000000000003,0.60849,0.07220900000000001
TCGA-A7-A2KD-01,-0.17010999999999998,-0.044264,0.37682,0.19784000000000002,0.16527999999999998,-0.13216,-0.9218799999999999,-0.7391399999999999,-0.009386,-0.36895,-0.06116,3.1086,0.62733
TCGA-A7-A3IZ-01,-0.21679,-3.4886,0.15054,0.26838,-0.12099000000000001,-0.11295999999999999,-2.3893,-0.77142,0.19460999999999998,-0.6614,0.11637,0.5234,0.23245
TCGA-A7-A3J0-01,0.25991,-0.039133,0.12385999999999998,0.11252000000000001,0.24936999999999998,-0.032862,-0.77709,-0.9143100000000001,0.15759,0.034516000000000005,0.23299,-0.9224899999999999,-0.24686999999999998
TCGA-A7-A3J1-01,-0.19157000000000002,-3.1754,0.053378999999999996,0.18184,-0.15893,-0.7005100000000001,-1.9664,-0.7859,0.19831,-0.16078,-0.081251,-0.15209,-0.042731
TCGA-A7-A3RF-01,0.59133,0.57886,0.064747,-0.046549,0.036249,0.40031,-0.40731999999999996,-0.87466,0.40808,0.52346,0.13158,-1.3434,0.33236
TCGA-A7-A425-01,-0.5417,-1.0662,-0.020008,-0.086339,0.65774,-0.70603,-1.4769999999999999,-0.8389,-0.15023,-0.29474,-0.12420999999999999,0.13519,0.8910399999999999
TCGA-A7-A4SA-01,-0.28678000000000003,-2.4668,-0.25506,-0.036055000000000004,0.86369,-0.43832,-1.8253,-0.8193299999999999,-0.10194,0.077997,-0.072477,0.13917000000000002,0.23644
TCGA-A7-A4SD-01,-0.36943000000000004,-0.024159,-0.47808,0.18381,0.9991,0.52491,-0.017831,0.34199,0.072923,0.35477,0.30126,0.13682,-0.34348
TCGA-A7-A4SE-01,0.48246999999999995,-2.5551,-0.37081,0.49818999999999997,0.97659,0.7185199999999999,-1.8838,-0.71467,0.14169,0.83421,0.06683099999999999,-0.8962100000000001,0.29751
TCGA-A7-A4SF-01,-0.37838,0.9575600000000001,0.16322,-0.097179,-0.3198,0.1614,-0.32878,-0.62879,-0.16176,-0.18465,0.085746,0.94137,0.14655
TCGA-A7-A5ZV-01,-0.15225999999999998,0.14314000000000002,-0.24386,0.13258,-1.3887,0.51862,-0.20017000000000001,-0.2614,-0.11450999999999999,0.19246,0.16242,0.54679,0.52905
TCGA-A8-A06N-01,0.14317,0.55928,-1.4252,0.13342,0.046914,0.29658,-0.10073,-0.73305,0.12738,0.27785,-0.41811000000000004,0.032974,0.51886
TCGA-A8-A06P-01,-0.024824000000000002,0.37429,-0.19291,-0.42878,-1.0131,-0.34909,-0.8980899999999999,-0.74139,0.42551000000000005,-0.011611,0.30711,-0.6076199999999999,0.4978
TCGA-A8-A06R-01,-0.099031,-0.27543,0.053126,-0.1846,-0.40658,-0.40121,-0.67847,-0.69763,0.1343,-0.35254,-0.0095052,-0.61105,-0.003950199999999999
TCGA-A8-A06U-01,-0.27825,0.79955,0.24453000000000003,-0.024983,0.98213,0.040829000000000004,-0.22380999999999998,-0.51713,0.34326999999999996,-0.26913000000000004,-0.11084000000000001,0.66708,-0.030758999999999998
TCGA-A8-A06Y-01,-0.060125,0.85526,0.34970999999999997,-0.22455999999999998,-0.313,0.034279000000000004,0.26998,-0.37775,0.15519000000000002,-0.17451,-0.1793,0.3431,0.15392
TCGA-A8-A06Z-01,-0.16118,0.48965,0.67747,0.10855,-0.94684,-0.25856999999999997,-0.074628,-0.8733299999999999,0.14284000000000002,-0.55342,-0.2169,1.1482,1.3017
